t = 0.4
-1.62869	-1.64128	2.35455	31.5111	120.499	208.957	284.024	508.596	358.948	917.883	438.249	994.635	418.26	648.688	393.629	318.786	204.997	60.4652	5.79816	-3.00677	-2.9515	
-0.941933	-6.51458	-38.8247	-160.036	-450.841	-767.221	-1080.91	-1714.09	-1552.32	-2901.28	-1938.85	-3141.43	-1812.13	-2181.6	-1495.77	-1166.23	-761.046	-301.681	-82.7078	-16.1856	-2.49814	
85.0976	160.61	491.236	1415.33	3279.07	5449.68	7789.36	11367.8	11931.3	18154	14990.6	19641.7	13937	14440.4	10761.7	8256.36	5499.08	2641.36	1026.27	369.387	188.292	
237.656	507.971	1901.52	7079.24	24240.6	68928.3	140799	219372	309233	331458	391434	358854	363286	280156	196402	105556	40937.1	13276.3	3995.82	1182.68	531.759	
488.468	1125.64	4704.02	20208.7	83483.6	327451	1.11348e+06	2.79066e+06	5.1383e+06	7.70679e+06	8.76915e+06	8.36137e+06	6.0542e+06	3.57947e+06	1.55969e+06	502585	141162	37955.9	9903.67	2636.19	1099.34	
689.854	1644.28	7245.91	33005.6	149798	654031	2.79397e+06	1.02572e+07	2.47678e+07	3.8709e+07	4.91797e+07	4.20141e+07	2.92152e+07	1.31754e+07	3.91606e+06	1.00395e+06	253420	62003.2	15267.5	3859.36	1556.11	
880.613	2153.82	9806.64	46875.4	222966	1.07527e+06	5.00476e+06	2.39891e+07	9.59458e+07	2.15135e+08	2.47618e+08	2.33636e+08	1.13274e+08	3.0823e+07	7.01352e+06	1.65115e+06	377154	88089.1	20667.6	5063.59	1989.26	
1019.58	2526.77	11776.8	57404	285014	1.40948e+06	7.27753e+06	3.61547e+07	2.07495e+08	9.37899e+08	1.88349e+09	1.01898e+09	2.45011e+08	4.64376e+07	1.02017e+07	2.16375e+06	482237	107860	24827.3	5943.79	2306.25	
1069.59	2668	12484.5	61679.8	306352	1.56765e+06	7.95402e+06	4.41609e+07	2.29581e+08	1.811e+09	5.75771e+09	1.96786e+09	2.70982e+08	5.67412e+07	1.1146e+07	2.40725e+06	518219	115917	26314.2	6277.56	2420.92	
1019.03	2527.13	11777.7	57404.5	285014	1.40948e+06	7.27752e+06	3.61547e+07	2.07495e+08	9.37899e+08	1.88349e+09	1.01898e+09	2.45011e+08	4.64376e+07	1.02017e+07	2.16375e+06	482236	107859	24825.2	5942.78	2307.51	
879.852	2154.19	9807.49	46875.8	222966	1.07527e+06	5.00476e+06	2.39891e+07	9.59458e+07	2.15135e+08	2.47618e+08	2.33636e+08	1.13274e+08	3.0823e+07	7.01352e+06	1.65115e+06	377154	88088.1	20665.4	5062.47	1990.93	
689.219	1644.4	7246.16	33005.6	149798	654031	2.79397e+06	1.02572e+07	2.47678e+07	3.8709e+07	4.91797e+07	4.20141e+07	2.92152e+07	1.31754e+07	3.91606e+06	1.00395e+06	253420	62003	15266.5	3858.86	1557.52	
487.992	1125.58	4704.01	20208.5	83483.4	327451	1.11348e+06	2.79066e+06	5.1383e+06	7.70679e+06	8.76915e+06	8.36137e+06	6.0542e+06	3.57947e+06	1.55969e+06	502585	141163	37956.1	9903.75	2636.31	1100.18	
237.357	507.872	1901.67	7079.96	24241.3	68929.4	140803	219371	309244	331452	391449	358848	363299	280155	196407	105558	40938.7	13278.1	3996.59	1183.05	532.297	
84.8217	160.421	491.411	1418.28	3293.76	5475.49	7819.16	11438.5	11956.2	18288.5	15015.6	19787.7	13965.6	14530.8	10803	8295.96	5524.3	2647.22	1026.95	369.342	188.226	
-1.73589	-8.6165	-47.315	-191.563	-545.106	-927.639	-1292.54	-2092.77	-1822.83	-3563.28	-2263.05	-3858.56	-2127.06	-2664.07	-1788.26	-1410.08	-920.22	-360.92	-100.659	-21.2459	-4.3924	
-3.51582	-9.75611	-39.125	-116.137	-232.861	-387.118	-609.555	-705.891	-1089.02	-994.66	-1422.6	-1074.21	-1275.66	-893.861	-843.288	-585.959	-389.515	-217.502	-82.7278	-23.3167	-8.12127	

t = 0.6
-22.9599	-26.6121	-10.1069	153.002	717.726	1819.4	3233.39	4866.29	6622.49	7518.46	8789.37	8139.94	7776.03	6211.34	4507.6	2790.97	1224	297.367	-14.3352	-56.0798	-48.2345	
0.115028	-48.4317	-316.478	-1249.44	-3594.31	-7705.52	-12983.2	-18993.1	-25149.2	-28999.4	-32796.2	-31383.6	-29498.1	-24200	-18046.4	-11758.1	-6067.09	-2356.93	-680.924	-130.884	-12.6193	
1080.68	1893.47	5259.53	14066.6	32457.7	62156.4	99976.3	142436	184510	214106	236949	231602	216176	181154	138559	94387.6	54352.6	26161.8	10926.4	4296.82	2353.53	
2935.59	5741.4	19023.2	62900.4	189636	493310	1.05372e+06	1.82557e+06	2.64882e+06	3.34603e+06	3.66135e+06	3.62548e+06	3.1133e+06	2.33315e+06	1.46955e+06	754105	319529	117672	39813	13228.7	6490.32	
5962.83	12492.1	45997.9	172584	616181	2.02375e+06	5.7774e+06	1.34576e+07	2.47149e+07	3.58407e+07	4.18694e+07	3.88787e+07	2.91127e+07	1.72491e+07	8.08153e+06	3.10175e+06	1.0405e+06	323558	96561.7	28997.2	13287.2	
8381.85	18149.6	70191.9	279705	1.07973e+06	3.96311e+06	1.33368e+07	3.80192e+07	8.39865e+07	1.36809e+08	1.62898e+08	1.48476e+08	9.90198e+07	4.87844e+07	1.86743e+07	6.07865e+06	1.82447e+06	524779	147511	42257.8	18738	
